date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:59	13993/13993	---M--	200	added ('OK')	image/jpeg	etag:%2236a9-5c292b33e81d2%22	https://themesbrand.com/minible/layouts/assets/images/users/avatar-4.jpg	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/assets/images/users/avatar-4.jpg	(from https://themesbrand.com/minible/layouts/index.html)
14:53:00	93532/93532	---M-Z	200	added ('OK')	text/html	etag:%2216d5c-5c29304422730-gzip%22	https://themesbrand.com/minible/layouts/layouts-dark-sidebar.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-dark-sidebar.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:00	93546/93546	---M-Z	200	added ('OK')	text/html	etag:%2216d6a-5c29304421790-gzip%22	https://themesbrand.com/minible/layouts/layouts-compact-sidebar.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-compact-sidebar.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:00	93564/93564	---M-Z	200	added ('OK')	text/html	etag:%2216d7c-5c293044236d1-gzip%22	https://themesbrand.com/minible/layouts/layouts-icon-sidebar.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-icon-sidebar.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:01	93586/93586	---M-Z	200	added ('OK')	text/html	etag:%2216d92-5c29304421790-gzip%22	https://themesbrand.com/minible/layouts/layouts-boxed.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-boxed.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:01	93843/93843	---M-Z	200	added ('OK')	text/html	etag:%2216e93-5c293044236d1-gzip%22	https://themesbrand.com/minible/layouts/layouts-preloader.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-preloader.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:02	93544/93544	---M-Z	200	added ('OK')	text/html	etag:%2216d68-5c29304421790-gzip%22	https://themesbrand.com/minible/layouts/layouts-colored-sidebar.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-colored-sidebar.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:02	98731/98731	---M-Z	200	added ('OK')	text/html	etag:%22181ab-5c293044236d1-gzip%22	https://themesbrand.com/minible/layouts/layouts-horizontal.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-horizontal.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:02	98739/98739	---M-Z	200	added ('OK')	text/html	etag:%22181b3-5c293044236d1-gzip%22	https://themesbrand.com/minible/layouts/layouts-hori-topbar-dark.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-hori-topbar-dark.html	(from https://themesbrand.com/minible/layouts/index.html)
14:53:03	98767/98767	---M-Z	200	added ('OK')	text/html	etag:%22181cf-5c29304422730-gzip%22	https://themesbrand.com/minible/layouts/layouts-hori-boxed-width.html	C:/Users/User/Desktop/ecomma/themesbrand.com/minible/layouts/layouts-hori-boxed-width.html	(from https://themesbrand.com/minible/layouts/index.html)
